id;account_label;account_number;active;currency;initial_amount;initial_amount_local;account_type;interest;nickname
1;monitor;Steel;false;USD;18959;70546;Property;56218;Shoes
2;Balanced Loan;Tennessee;false;EUR;6074;44315;Fund;59937;green facilitate
3;Gorgeous cross-platform non-volatile;Ohio Pound;false;EUR;64012;50180;Property;32922;Functionality Intranet
4;withdrawal HTTP Electronics;transform indexing Optional;true;AUD;800;57751;Fund;42093;repurpose
5;Glens;Soap;false;VND;4552;73176;Property;93839;Shoes
6;payment driver withdrawal;Executive Automotive PCI;true;USD;56964;54992;Interest;18667;Implementation
7;Spur Credit;bypass;false;AUD;74058;43076;Loan;2202;functionalities orange Rubber
8;Indiana bypassing;Account Licensed;false;VND;60472;74716;Property;23481;Health Egypt Managed
9;Product optimize;Cambridgeshire;false;EUR;58364;64177;Loan;56474;Well Berkshire parsing
10;holistic cyan;generating;true;SGD;4557;21755;Check;76995;parse harness
