id;plaid_account_id;item_id;type;subtype;balance_available;balance_current;iso_currency_code;name;official_name;iban;bic
1;alarm Identity;XML Bacon;Glen Bedfordshire needs-based;Fully-configurable;11949;38020;PYG;withdrawal hack service-desk;firewall Georgia;VG9785312000703164208425;BAQAKNS1
2;program Illinois;Handmade Naira;Fresh Computers metrics;Underpass Reduced;14410;59405;KMF;attitude;Towels Frozen;DK6094370401520351;KKTAARL1DIY
3;Synchronised auxiliary;Industrial reciprocal;Hawaii enhance Arizona;Point Electronics;35187;46812;EGP;Product Lead;United Infrastructure;RO12AFFK32601I9072924357;PTHICNW1035
4;driver;revolutionary;quantifying Future;Dynamic Berkshire generate;77709;28828;XPT;extranet Lev;input Analyst hacking;IE146E5N69186770160180;GMDUBYR1
5;best-of-breed payment viral;strategic;up;alliance Dakota;2021;43330;SYP;withdrawal;Games Cheese Panama;AE476361460018370094340;SHSOSSR1
6;JSON compressing;Croatia sky;Oregon Forward Bike;Avon PNG Clothing;25440;28021;MKD;redundant Concrete withdrawal;array Fantastic programming;IL685098290659680572010;MLTOSEA1148
7;database;Analyst Communications;Rubber Cotton;fresh-thinking Virginia Clothing;23331;3047;SLL;Handmade;Peso index;SM12Y074005042992Z625Z5J766;XJSIMDL1
8;Shilling Incredible Virginia;virtual;auxiliary hack;program;25280;35377;JOD;Forward;clicks-and-mortar Human;NO2100521521520;VATUMGM1
9;port;global ADP;Andorra Gloves East;web-readiness Concrete EXE;69942;47373;XBB;port;Borders;CH6601097723076B0778I;JEQECOM1
10;Group;Wooden Dynamic override;Soft USB wireless;Forward;71228;64049;QAR;Rubber AGP systems;monitor system;SI57840090980904089;JTGIGQS1MUP
