id;item_id;institution_id;access_token;added_date;update_date
1;Zealand Wooden Berkshire;navigate deposit;Frozen Account Congo;2022-01-12T15:41:15;2022-01-12T18:21:41
2;port;Investment Books white;User-friendly withdrawal Spurs;2022-01-11T23:37:26;2022-01-11T22:58:06
3;Chips Tuna;demand-driven;generate;2022-01-12T13:40:53;2022-01-12T02:49:55
4;Games ADP methodical;Malawi Programmable back-end;Licensed Investment Dynamic;2022-01-12T10:03:36;2022-01-12T17:40:23
5;Iraqi;Borders protocol Licensed;generate;2022-01-12T16:17:50;2022-01-12T17:21:36
6;primary JSON;action-items;foreground Customer;2022-01-12T06:25:54;2022-01-12T03:11:59
7;bypass viral;Fantastic Park schemas;Zambia;2022-01-12T07:06:01;2022-01-12T00:08:54
8;Metal magnetic Checking;interactive;enable Steel applications;2022-01-12T18:52:40;2022-01-12T06:47:43
9;Licensed;JBOD;morph Auto;2022-01-12T13:03:32;2022-01-12T05:10:33
10;Italy;Hat Lucia States;Sleek Kingdom;2022-01-12T07:04:24;2022-01-12T20:34:23
